name,surname,role_name,movie_id
Jesse,Alvarez,producer,72
Diane,Scott,editor,271
Gregory,Wilson,music composer,259
Kelly,Smith,director,189
Stephanie,Sanchez,camera operator,351
Cameron,Nguyen,costume designer,223
Zachary,Hess,location manager,62
Stacy,Watson,camera operator,168
Elizabeth,Boyd,casting director,167
Adam,Miller,casting director,359
Clayton,Bowen,location manager,11
Robert,Andrews,hair and make-up,50
Christina,Anderson,location manager,56
Heather,Sellers,director,293
Tyler,Jackson,hair and make-up,18
Dominic,Murphy,camera operator,211
Amber,Nguyen,camera operator,361
Kimberly,Miller,music composer,412
Mark,Mcintyre,camera operator,353
Julia,Moore,music composer,415
Laura,Knox,writers,464
Janet,Navarro,costume designer,52
Sharon,Nguyen,camera operator,264
Kristen,Hernandez,location manager,277
Maureen,Dunn,cinematographer,176
Hailey,Larson,director,463
Shawn,James,producer,91
Christopher,Jordan,cinematographer,400
Nicole,Alexander,actor,467
Mark,Gonzales,hair and make-up,448
Nicholas,Young,writers,391
Monique,Banks,editor,370
Angela,Horton,writers,414
Deanna,Mcmillan,cinematographer,47
Zachary,Stephens,camera operator,259
Michael,Walker,casting director,16
Robert,Stone,writers,271
Debra,Kerr,director,154
Dawn,Schroeder,casting director,300
Lucas,Green,location manager,174
Russell,Gill,cinematographer,376
Lisa,Frye,director,451
Mary,Oneill,producer,172
Christopher,Wilson,director,491
Jimmy,Anderson,director,319
Kylie,Kim,casting director,151
Harold,Taylor,cinematographer,342
Kevin,Nelson,cinematographer,476
Michelle,Hayes,cinematographer,264
Holly,Espinoza,writers,56
Alexander,Walker,editor,48
Mark,Graham,editor,160
Lisa,Smith,camera operator,322
Chad,Hill,cinematographer,179
Carlos,Maynard,costume designer,79
Renee,Hodges,director,438
Kathy,Phillips,actor,400
David,Green,actor,170
Samantha,Manning,actor,98
Melissa,Owens,cinematographer,155
Wyatt,Elliott,writers,256
Logan,Thomas,producer,377
Linda,Bailey,cinematographer,85
Timothy,Welch,location manager,266
Walter,Hale,editor,26
David,Baldwin,producer,442
Edwin,Martin,cinematographer,44
James,Phelps,cinematographer,430
Kelsey,Garrett,actor,402
Ryan,Bates,cinematographer,311
Scott,Knight,location manager,159
Todd,Smith,editor,13
Susan,Adams,producer,302
Rodney,Ortiz,writers,300
Charlene,Higgins,producer,76
Billy,Hall,music composer,174
Sarah,Hale,actor,278
